"state_county","trump","biden","others"
"alabama,autauga",19838,7503,429
"alabama,baldwin",83544,24578,1557
"alabama,barbour",5622,4816,80
"alabama,bibb",7525,1986,84
"alabama,blount",24711,2640,237
"alabama,bullock",1146,3446,21
"alabama,butler",5458,3965,65
"alabama,calhoun",35101,15216,666
"alabama,chambers",8753,6365,166
"alabama,cherokee",10583,1624,94
"alabama,chilton",16085,3073,152
"alabama,choctaw",4296,3127,41
"alabama,clarke",7324,5755,56
"alabama,clay",5601,1267,62
"alabama,cleburne",6484,675,68
"alabama,coffee",16899,5076,300
"alabama,colbert",19203,8343,340
"alabama,conecuh",3442,2966,33
"alabama,coosa",3631,1796,52
"alabama,covington",14586,2721,123
"alabama,crenshaw",4864,1700,53
"alabama,cullman",36880,4478,493
"alabama,dale",14303,5170,265
"alabama,dallas",5524,12230,110
"alabama,dekalb",24767,4281,308
"alabama,elmore",30164,10367,499
"alabama,escambia",10869,4918,123
"alabama,etowah",35528,11567,633
"alabama,fayette",7300,1395,71
"alabama,franklin",10376,2086,116
"alabama,geneva",10848,1595,102
"alabama,greene",875,3884,16
"alabama,hale",3190,4687,45
"alabama,henry",6607,2606,85
"alabama,houston",32618,12917,638
"alabama,jackson",19670,3717,249
"alabama,jefferson",138843,181688,5317
"alabama,lamar",6174,978,41
"alabama,lauderdale",31721,11915,703
"alabama,lawrence",12322,3562,147
"alabama,lee",42221,27860,1368
"alabama,limestone",34640,13672,923
"alabama,lowndes",1836,4972,27
"alabama,macon",1541,7108,74
"alabama,madison",102780,87286,4701
"alabama,marengo",5343,5488,69
"alabama,marion",12205,1463,139
"alabama,marshall",33191,5943,521
"alabama,mobile",101243,79474,2447
"alabama,monroe",6147,4455,66
"alabama,montgomery",33311,64529,1299
"alabama,morgan",39664,13234,824
"alabama,perry",1339,3860,31
"alabama,pickens",5594,4022,52
"alabama,pike",8042,5636,163
"alabama,randolph",8559,2203,75
"alabama,russell",9864,11228,237
"alabama,st. clair",36166,7744,531
"alabama,shelby",79700,33268,1982
"alabama,sumter",1598,4648,45
"alabama,talladega",22235,13138,290
"alabama,tallapoosa",14963,5859,169
"alabama,tuscaloosa",51117,37765,1290
"alabama,walker",26002,4834,334
"alabama,washington",6564,2258,54
"alabama,wilcox",1833,4048,22
"alabama,winston",10195,974,115
"arizona,apache",11442,23293,448
"arizona,cochise",35557,23732,1184
"arizona,coconino",27052,44698,1596
"arizona,gila",18377,8943,358
"arizona,graham",10749,4034,213
"arizona,greenlee",2433,1182,73
"arizona,la paz",5129,2236,95
"arizona,maricopa",995665,1040774,33036
"arizona,mohave",78535,24831,1339
